conversation_id,tweet_id,text,turn_count,created_at
255809,255809,@AppleSupport how do I unsubscribe from Apple Music?? Dont wanna continue after 3 months but it keeps charging me,2,Thu Oct 05 18:22:19 +0000 2017
267778,267778,"For the second time in 2 weeks,  the iOS11 update caused my phone to stop working. Guess I'll be making another to the @115858 store.",7,Thu Oct 05 21:19:38 +0000 2017
268219,268219,Canta xente que fala galego tamén quere escribir e twittear en galego? @115858 Galician keyboard NOW #iphonegalego #iosgalego,3,Fri Oct 06 00:04:40 +0000 2017
283217,283217,@AppleSupport my iphone 8 Plus speakers keep crackling 🙄🙄🙄🙄🙄🙄🙄 and yes I updated the software. Is it an issue with the phone itself?,4,Fri Oct 06 03:58:41 +0000 2017
285205,285205,Sres de @AppleSupport tengo un iPhone 6s y es DESESPERANTE lo de IOS11. Teléfono lentisimo y lo de la batería es una VERGÜENZA. No dura nada,2,Fri Oct 06 07:43:52 +0000 2017
301586,301586,@AppleSupport - j’ai perdu ma barre d’appli en bas de l’écran ☹️,2,Fri Oct 06 18:19:06 +0000 2017
302926,302926,iOS 11.1.2 is causing many issues with battery life. 20% to 5% in 5 minutes. A reboot got me back to 30% for 5 minuets. Back to 24% and falling fast. Apple IPhone,3,Sun Nov 19 00:09:46 +0000 2017
303122,303122,The first time I’ve really kind of been embarrassed for @115858 is ios 11. Unacceptable.,5,Fri Oct 06 11:59:05 +0000 2017
306634,306634,"Hey @115858, which software update is going to fix this glitch where my phone held vertically displays horizontally🤷‍♀️ https://t.co/g3y3NbHmJi",4,Fri Oct 06 20:42:11 +0000 2017
309271,309271,@AppleSupport @115858 my Iphone 7 has become very slow since the last update. It reminds me now of a old dial up computer. What has this update done 😫😫,2,Fri Oct 06 22:25:40 +0000 2017
321222,321222,"#iOS11 has fvcked the battery AND charging all the way up, bruh🤦🏽‍♂️ @115858, please fix these issuesssssss.",6,Fri Oct 06 04:09:43 +0000 2017
326409,326409,@AppleSupport iPhone stuck in headphones mode after iOS 11.0.2 software update. I got similar issue earlier when I have updated the software,2,Sat Oct 07 13:12:10 +0000 2017
345695,345695,@AppleSupport 5 hour trying update wors than windows 3.1,2,Sun Oct 08 00:52:39 +0000 2017
351710,351710,@115858 y’all neee to get it together. My phone has been severely screwing up since the new update.,5,Sun Oct 08 03:06:44 +0000 2017
359284,359284,"@115858 @AppleSupport sometthing wrong with #ios11,Battery goes fron 36 to 55 in seconds and decreases also in same way. #pissed #badupdate",13,Sun Oct 08 03:02:21 +0000 2017
361768,361768,@AppleSupport my phone was messing up so I turned it off and on and saw that 1000 of my photos have just disappeared?????????? Wtf???? https://t.co/EheK86jATF,2,Sun Oct 08 15:32:59 +0000 2017
372905,372905,IOS 11 c’est un véritable carnage pour la batterie mais c’est du jamais vu je charge mon tel 3 à 4 fois/jour @115858,2,Sun Oct 08 22:59:34 +0000 2017
385695,385695,@AppleSupport Currently on a 2TB iCloud account and having issues syncing between 2 macs. Any way to not downloading all my data on both?,2,Mon Oct 09 03:17:58 +0000 2017
387604,387604,@AppleSupport: unable to share web pages to @123765 from the built in safari social framework. What changes? #ios11,2,Mon Oct 09 06:59:15 +0000 2017
388896,388896,"@115858 ‘s new IOS update is lovely. Charging 3x a day, buttons not working, and I believe I can fried an egg on it since it’s hot as hell.",2,Mon Oct 09 09:51:13 +0000 2017
391263,391263,"@115858 

Honestly the 11.0 version is a very, very bad experience 😕😕",2,Mon Oct 09 14:21:59 +0000 2017
411149,411149,@AppleSupport the iPhone 7+ battery sux! Takes an hour to recharge!!!! Wish I hadn’t upgraded!,5,Sun Oct 08 21:45:50 +0000 2017
428334,428334,"Question: Can i connect an iCloud Drive to #AppleTV and store movies there, and will they play on AppleTV?
@AppleSupport @115858 @15443",2,Tue Oct 10 07:17:29 +0000 2017
428348,428348,"Please fix the new IOS bugs 
#iPhoneGettingWorst 
@13523 @216880 @216881 
@AppleSupport @115858 https://t.co/zat6gh8dXd",4,Tue Oct 10 07:03:17 +0000 2017
448361,448361,"@AppleSupport I’ve been trying to connect my work iPhone and iPad however, phoned technical support (very helpful) however it’s still not connecting text messages. Both are update on same software",2,Thu Nov 30 20:17:02 +0000 2017
455078,455078,"Hey @AppleSupport my @118721 &amp; @118936 account keeps saying my credit card info is declined when it shouldn’t be. Now I can’t download my apps, recent tv eps, &amp; music.",2,Thu Nov 30 23:10:00 +0000 2017
458407,458407,@AppleSupport PLEASE FIX MY PHONE I️ DONT LIKE THIS,4,Fri Dec 01 01:01:50 +0000 2017
462047,462047,i’m so pissed this phone is always fucking up retire bitch @115858,2,Fri Dec 01 02:00:01 +0000 2017
481845,481845,@115858 my phone glitching when I type. I never had this problem until I updated it to this iOS 11.1.2🧐 either you fix it or you lost a customer 🙃,2,Fri Dec 01 05:12:19 +0000 2017
487982,487982,"@AppleSupport  @115858  Yo so i use two iphone 4s and a couple days ago at the same time both of them just stopped being capable of charging while on. I've never had a problem with either phone, so what the fuck did y'all do? #PlannedObsolescence ???",4,Fri Dec 01 13:34:46 +0000 2017
488029,488029,@115858 super disappointed. Recently having problems with my iphone 6s. Impossible to fix it.,2,Fri Dec 01 12:47:24 +0000 2017
489693,489693,"@AppleSupport I can’t add songs/albums to my Apple Music library. Seriously, @115858 software quality is miserable these days...",2,Fri Dec 01 15:01:12 +0000 2017
491456,491456,@115858 @AppleSupport your new update sucks! It keeps crashing and the alarm app doesn’t work anymore. Ended up being extremely late for work because of your update.,2,Fri Dec 01 16:21:16 +0000 2017
505048,505048,2012 @115858 MacBook Pro is dying. Battery does not charge and has to be plugged in at all times. *Service Battery* issue. All signs point to faulty tech. What will @AppleSupport do in this situation?,2,Fri Dec 01 20:31:32 +0000 2017
509482,509482,.@115858 is there someone on your end that keeps pausing my music randomly or is that a bug too?,4,Fri Dec 01 21:53:24 +0000 2017
514751,514751,"@AppleSupport Every 2 minutes this happening on my phone screen and restart everything. I did some research and so many people have the same issue. Any solve?

İphone 7 - iOs 11.1.2 https://t.co/fgtACrmziU",11,Sat Dec 02 00:02:42 +0000 2017
518341,518341,"@AppleSupport Have an iphone 7+ on ios 11.1.2 and it keeps restarting with the spinning wheel every minute or so... it's driving me nuts; how can i fix it??? I'm in Melbourne, Australia; the problem started last night.",2,Sat Dec 02 01:09:15 +0000 2017
542513,542513,@AppleSupport My iPhone 6S keeps restarting every 2-3 minutes!!!!!!!!!!! It’s running on iOS 11.1.2. Is this a known issue? 😑,2,Sat Dec 02 06:28:47 +0000 2017
542516,542516,"Landed in Singapore and now my iPhone continuously crashes every 51 seconds! So annoying, please make a fix, the phone is useless now while on travel! @AppleSupport",2,Sat Dec 02 06:40:26 +0000 2017
545186,545186,@AppleSupport Phone now shuts down every 2 minutes and restarts when in use. Can’t request support or a call back as phone keeps shutting down,2,Sat Dec 02 10:02:04 +0000 2017
549589,549589,My iPhone has been rebooting on a loop since yesterday. Has any of faced this issue before ? I've tried switching off and restarting it. No luck. @AppleSupport,2,Sat Dec 02 13:01:18 +0000 2017
553515,553515,WHAT IS THIS LINE??? @AppleSupport https://t.co/qZyib3qhaH,3,Sat Dec 02 16:07:15 +0000 2017
553532,553532,Anyone know why my phone keeps doing this?????? https://t.co/twMT0Af6Bj,3,Sat Dec 02 00:48:24 +0000 2017
557897,557897,Dear @AppleSupport I’m tired of not being able to use my music app after this stupid update 🤷🏼‍♀️,6,Sat Dec 02 15:50:49 +0000 2017
559100,559100,"Hey @115858 I absolutely love how my brand new $1400 dollar iPhone dies by 1 o'clock in the afternoon, you guys fucking rock  #🖕🏻",2,Sat Dec 02 21:39:06 +0000 2017
566822,566822,@115858 so my iPhone just randomly deleted all my contacts for no reason. This would never have happened on my Galaxy. Wtf,2,Sun Dec 03 01:11:01 +0000 2017
568388,568388,"@AppleSupport hey, I have a problem with one of your products",2,Sun Dec 03 02:36:10 +0000 2017
568468,568468,Why is it that when I update to 11.2 80% of my storage is now full? I have a 16gb phone. @115858 https://t.co/iDnIhVNdZk,2,Sun Dec 03 01:55:45 +0000 2017
584769,584769,@AppleSupport Hi Apple! I want to know about my iPhone's battery condition (iPhone 6s 64gb). Suddenly drops occur often. Can you help me?,2,Sun Dec 03 08:05:53 +0000 2017
586935,586935,@115858 keyboard cutting off last message in iMessage app is still a problem in iOS 11.2,2,Sun Dec 03 13:20:38 +0000 2017
587003,587003,"Family Sharing not working. @115858 says talk to the dev. @27400 (dev) says talk to Apple. Personally, I think the App Store is Apple’s problem.",2,Sun Dec 03 12:28:57 +0000 2017
601405,601405,The new update f’d up my phone! What is happening @115858 ?!?,2,Sun Dec 03 21:14:37 +0000 2017
609301,609301,Update: iOS 11 is still making my phone useless. Thank u @115858,2,Wed Oct 04 02:02:03 +0000 2017
620128,620128,@AppleSupport I got charged for an album I already paid for a long time ago and I’d like a refund please,2,Wed Nov 22 16:59:27 +0000 2017
620173,620173,Really @115858 ? My iPhone X black screened the day before Thanksgiving and I can't even fix if I force restart it😡,2,Wed Nov 22 16:46:05 +0000 2017
621733,621733,@AppleSupport can you wireless charge the battery of the iPhone 8 if you have a bookcase around the iPhone 8???,2,Wed Oct 04 11:31:37 +0000 2017
629724,629724,imagine paying 1100 for a phone and it black screens and never comes back on @115858,5,Wed Nov 22 14:16:28 +0000 2017
632946,632946,"Dear @115858: I love your products, but ever since I updated my phone’s software, It. Hasn’t. Worked. Please fix it.",4,Wed Oct 04 23:08:36 +0000 2017
632949,632949,@AppleSupport holy shit...the new iOS fucks up everything. Are you trying to screw this thing up? @318,2,Wed Oct 04 23:14:20 +0000 2017
639365,639365,.@AppleSupport is there a way i can take certain photos off my icloud and store on my phone,2,Thu Oct 05 00:46:17 +0000 2017
646848,646848,"Dear @115858.  Fix the #bluetooth audio on the 1200 dollar #iPhoneX
It's ridiculous how much this audio drops and pops and skips.",2,Wed Nov 22 18:30:25 +0000 2017
694509,694509,"Dear @115858 and @AppleSupport, I just installed iOS 11 and my iPhone is now the slowest ever. This is insane. First and last time owning an iPhone, let me tell you.",3,Thu Nov 23 10:48:57 +0000 2017
695286,695286,Why is the calculator on iphone still not fixed?! @115858,2,Thu Nov 23 12:46:49 +0000 2017
701634,701634,"@AppleSupport Alguien me puede explicar porqué la batería me está durando tan poco? Tengo el 6. Anoche se apagó sin batería, lo he cargado al 100 % y lo he desconectado a las 10 de la mañana, son casi las 17 horas y me queda un 7 %. Con lo que cuestan esto no se debería permitir",2,Thu Nov 23 15:51:07 +0000 2017
702911,702911,@AppleSupport #AirPods keep cutting out when phone in pocket. Tried new phone. What’s the deal with them?,2,Fri Oct 06 00:52:33 +0000 2017
704482,704482,"Lmao ffs @115858 I get the point, I’ll get a new phone just give a month. What kind of issues upon issues is this? Now my Volume, really?",5,Thu Nov 23 17:42:12 +0000 2017
704501,704501,Weiß wer ob man n Apple TV mit nem Beamer verbinden und dann mit nem MacBook den Bildschirm auf ne Leinwand übertragen kann? Freunde? @AppleSupport?,2,Thu Nov 23 18:22:15 +0000 2017
704569,704569,@AppleSupport Do you know why this happened? Secure Notes in login keychain has a lot of important informations. Sierra Login keychain was deleted when I upgraded to High Sierra. https://t.co/XP6EFsxgIg,2,Thu Nov 23 17:20:35 +0000 2017
708629,708629,Fix this auto brightness shit before I trip @115858,4,Tue Oct 10 19:41:26 +0000 2017
717699,717699,I swear I’m not liking how low both my speakers are @AppleSupport 😠,2,Tue Oct 10 23:56:50 +0000 2017
720686,720686,Hi @AppleSupport.. I don’t like the feel of the iOS 11 on my iPhone 7+.. Can you please help me revert to the iOS 10?,3,Fri Oct 06 10:58:34 +0000 2017
735902,735902,"@115858 worst #Apple could ever produce is an #iOS11 update for apple iPhone 6 32gb, my phone. It started hanging and it became slowest phone",2,Tue Oct 10 07:13:30 +0000 2017
754622,754622,"@AppleSupport My iphone 6 isn't working &amp; I need a GB Reserv. But I need 2 stp authentication which I cant do bz, phones broke. Pls help",2,Wed Oct 11 14:16:08 +0000 2017
770506,770506,My phone cut off three times today with a full battery @115858 fuckin up! 🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️,2,Wed Oct 11 23:31:23 +0000 2017
772338,772338,Spotlight search problem. Searching contact to text. When pressing message icon directed to general messages and not a chat @AppleSupport,5,Thu Oct 12 00:27:39 +0000 2017
780732,780732,I hate this new iOS update it just deleted ALL of mine and my boyfriend’s texts. Our whole relationship. HELP @AppleSupport,3,Sat Oct 07 19:06:05 +0000 2017
795251,795251,"When I open the camera app on my 6s. Please fix, @AppleSupport https://t.co/smUMqK2eRT",4,Thu Oct 12 10:58:43 +0000 2017
808207,808207,@AppleSupport going in for a GB appt later today for my AirPods because of audio problems. Is there a safe way to clean the mesh to test?,2,Thu Oct 12 18:10:53 +0000 2017
820686,820686,If my Apple ID signs me out one more time I’ll hit the roof @AppleSupport #ios11update,2,Thu Oct 12 22:11:09 +0000 2017
823168,823168,"@AppleSupport hi, whats going on with everything on iOS 11? My battery dies faster, my keyboard freezes sometimes and my apps won’t update",6,Thu Oct 12 23:35:15 +0000 2017
824130,824130,@115858 @AppleSupport My #iphone6 can’t even keep up with my typing. SLOW. Apps crashing all the time. What’s up with these crappy updates?,4,Thu Oct 12 23:51:14 +0000 2017
842490,842490,That is the distance it takes to break your fuckign Apple TV remote @AppleSupport  thanks @115858 for a cheap vulnerable remote https://t.co/1X0iqXgptS,5,Fri Oct 20 08:05:34 +0000 2017
872463,872463,Well done @115858 just tried updating to ios 11.0.3 and it's failed and had to completely restore my phone...,2,Fri Oct 13 14:52:52 +0000 2017
885751,885751,Depuis ios11 le Wi-fi et le Bluetooth du centre de contrôle ne servent plus à rien! Ne se désactivent pas et s’activent tous seuls @115858,2,Fri Oct 13 16:45:29 +0000 2017
903694,903694,where are my bottom 4 apps @115858 @AppleSupport https://t.co/7E9kPUhqC9,4,Fri Oct 20 23:07:28 +0000 2017
909798,909798,My Apple Watch is not normal working!Need help! @AppleSupport @115858 @116333 https://t.co/T4PrScTjkr,2,Tue Oct 10 13:33:06 +0000 2017
919189,919189,@AppleSupport are you going to sort out these issues with IOS affecting the sound on IPhones?,7,Fri Oct 13 07:40:24 +0000 2017
931956,931956,@AppleSupport how I get my iMessages and my photos back cause I’m very pissed,2,Fri Oct 13 22:33:25 +0000 2017
935865,935865,#iOS11 and @AppleSupport; what’s up with my music? Having a seizure. https://t.co/EYdvDW56im,6,Sat Oct 21 11:58:33 +0000 2017
937733,937733,"@AppleSupport I updated to the latest version of iOS today, and now my battery goes from 100% to 0% in less than an hour. Please help me.",2,Fri Oct 13 22:55:49 +0000 2017
939760,939760,My phone went from 100% to 40% in a 2 hour period. My Bluetooth is off and my brightness is less than halfway. iOS11 sucks @115858,2,Sat Oct 21 04:40:15 +0000 2017
945682,945682,@AppleSupport I just got the most recent upgrade and battery is draining at rapid speed.  Can I undo update?  This sucks!,4,Sat Oct 21 09:33:37 +0000 2017
956384,956384,"@AppleSupport iPhone 6s Plus
Camera, audio output, and video consistently shut down after iOS 11",2,Wed Oct 11 12:25:22 +0000 2017
967321,967321,I’m about to return the stupid #AppleWatch3 after a week trying to activate the cellular connection. @115858 and @ATT couldn’t help. #fail,2,Sat Oct 21 22:20:58 +0000 2017
970729,970729,Dear @AppleSupport how do you get podcasts to automatically play the next episode like they used to? #iOS11,2,Wed Oct 11 16:50:56 +0000 2017
990417,990417,Hate how Music widget in Control Center does not give you access to Shuffle &amp; Repeat ughhh @115858,3,Sun Oct 22 04:22:11 +0000 2017
996755,996755,"@AppleSupport I have IPad mini &amp; ever since I updated to iOS 11, my wifi connection is lagging &amp; has trouble loading most everything. Help!",2,Sun Oct 22 15:01:50 +0000 2017
998925,998925,Ever since I️ updated my phone it keeps sending question marks in boxes. I️ pay too much $ for this to happen @115858 fix it,7,Sat Nov 04 14:37:13 +0000 2017
999008,999008,@115858 FIX MY KEYBOARD,6,Sat Nov 04 03:19:45 +0000 2017
1021690,1021690,Ok so I updated to #ios11 three days ago and my phone has crashed/frozen solid 5 times already wtf @115858,4,Sun Oct 22 22:29:15 +0000 2017
1040193,1040193,@AppleSupport Your new upgrade stuck my iPhone 6s. Pls launch a new upgrade fixing the problems.,2,Sat Oct 14 18:30:20 +0000 2017
1052193,1052193,"@115858 @AppleSupport what’s going on with this update,sucking the life out of my battery since I updated 2 days ago!",2,Sat Oct 14 20:19:29 +0000 2017
1058943,1058943,"Hey @115858 — the new iOS has made my iphone slow, sluggish and really crappy. 👎🏽",4,Mon Oct 23 04:01:27 +0000 2017
1061428,1061428,@115858 swipe right isn’t working on my iPad Pro... help?,7,Mon Oct 23 08:02:09 +0000 2017
1065821,1065821,I woke up ten minutes before I leave to catch the train then my phone wasn’t working but a nice lady from the station might get me an apartment in Brooklyn so hey,6,Fri Oct 20 13:07:07 +0000 2017
1071781,1071781,@AppleSupport im using ipad air2. in the new update. Everytime i close an app. Homepage forces to be in landscape. Even im in portrait lock,4,Fri Oct 13 06:19:17 +0000 2017
1092519,1092519,@AppleSupport how do you delete the latest update of IOS on your phone? Your latest update sucks so bad. #thisiswhyidontupdate #butidid,2,Mon Oct 23 20:25:43 +0000 2017
1095931,1095931,@AppleSupport ever since I updated to the IOS 11 my phone practically doesn’t work.,2,Fri Oct 13 21:07:36 +0000 2017
1133160,1133160,@AppleSupport why is this happening? Where did my App Store app go during the latest update? https://t.co/bTrm45ClEb,4,Tue Oct 24 04:40:08 +0000 2017
1145134,1145134,@AppleSupport I just got a v suspect email advising me to click a link otherwise my Apple ID will be locked permanently. Is this 🍏?,2,Sun Oct 15 16:03:52 +0000 2017
1145149,1145149,"I find a new reason to regret updating to #ios11 every single day. Battery life, awkward UI, now taking video crashes Messages @AppleSupport",3,Sun Oct 15 15:54:33 +0000 2017
1164660,1164660,@AppleSupport please fix this bug in iOS 11 on the next update. Just really annoying that’s all. https://t.co/RZCjdcC1Ps,2,Tue Oct 24 20:51:43 +0000 2017
1175459,1175459,@115858 can you fix the integration with Clips and @126? My videos quality didn't translate well.,2,Sun Oct 15 16:27:37 +0000 2017
1203532,1203532,@AppleSupport iOS 11.1 (15B92) still won’t download apps,2,Wed Oct 25 09:19:45 +0000 2017
1217629,1217629,"@AppleSupport and the phone hanging all the time,whats the problem,is it just my phone???🤷🏿‍♂️🤷🏿‍♂️",6,Wed Oct 25 11:36:07 +0000 2017
1231328,1231328,"Idk what the hell is goin on, but some random number keeps texting me to stop calling them but I have never made any calls to their #??",5,Wed Oct 25 20:38:40 +0000 2017
1241138,1241138,my Apple Music keeps on stopping and it’s aggravating me,3,Wed Oct 25 22:15:18 +0000 2017
1252447,1252447,@AppleSupport any ideas why my iPhone 6 goes from 100% battery to under 10% in 15 mins without the phone even being used and all background apps closed? I’m starting to think apple zap older iPhones when a new one comes out so you have to upgrade 🤬,2,Sat Nov 25 19:48:13 +0000 2017
1273559,1273559,.@AppleSupport Hey get it together with these iPhone system updates. Phone keeps crashing and freezing. #iphone7,2,Thu Oct 26 13:42:27 +0000 2017
1331978,1331978,"@AppleSupport Hi there, after upgrading to iOS 11.0.3 my iphone7 is super slow and can barely use apps",4,Thu Oct 26 09:24:32 +0000 2017
1335183,1335183,@115858 how could you send my order confirmation to the wrong email!! THE FUUUUKKK,6,Fri Oct 27 07:24:44 +0000 2017
1335443,1335443,My phone just got extremely hot out of nowhere. Soooo @AppleSupport what are they putting in these phones sis?? 🤔,4,Mon Oct 16 07:02:12 +0000 2017
1338820,1338820,@AppleSupport my phone is completely unusable after last update because of iCloud terms and conditions. How do I get rid of this popup hell https://t.co/N4slrOSKPN,2,Fri Oct 27 08:42:04 +0000 2017
1338835,1338835,"@AppleSupport keep saying they called but I never get a missed call.

Four times told them they have the wrong number.

They don't listen. https://t.co/nDHAtkkHZv",2,Fri Oct 27 13:17:43 +0000 2017
1357330,1357330,Purchase A Nightmare on Elm St Collection from @6575 at $29.99 but was charged $49.99. @115858 said isn’t their problem...WTF,2,Fri Oct 27 16:58:10 +0000 2017
1365541,1365541,"@AppleSupport my #iphonex reservation number received this morning, is now showing as invalid, any ideas?",5,Fri Oct 27 20:15:22 +0000 2017
1396526,1396526,#ethernet #problem #macoshighsierra I have change more cable and is stable on wifi. #BCM5701. Can you help me? @AppleSupport Thanks https://t.co/TjQNDkeSM7,2,Thu Oct 19 14:40:31 +0000 2017
1396716,1396716,@AppleSupport need help with iPhone order under a guest account and reservation says I only have till 12 and not taking class?? Help,2,Sat Oct 28 13:58:37 +0000 2017
1425157,1425157,"@AppleSupport when are you going to sort out the recent update? Now can’t control music whilst phone locked, either onscreen or headphones.",8,Mon Oct 16 17:46:48 +0000 2017
1433757,1433757,Does anyone know why I️ can’t type “I️” correctly in my text messages and instead puts an “A and a symbol”? It’s so annoying! @AppleSupport,3,Thu Nov 02 05:29:03 +0000 2017
1456552,1456552,Are y’all going to fix the issue with the brightness? What happened to it automatically adjusting! 😡 #annoyed @AppleSupport,6,Mon Oct 16 19:56:35 +0000 2017
1458109,1458109,"Is anyone else having a glitch when you try to type “i” on your IPhone?

@AppleSupport",6,Wed Nov 01 19:47:48 +0000 2017
1470028,1470028,@115858 any help on why the letter I keeps changing to this I️ ?,2,Thu Nov 02 23:24:44 +0000 2017
1473832,1473832,Xjjfjkxjjfkgkkfkkkmgkkfkmfkf https://t.co/jERv1EOu3i,3,Fri Nov 03 00:55:35 +0000 2017
1474852,1474852,@AppleSupport your new iOS has made my iPhone 6s so slow and laggy what the heck,2,Sat Oct 28 20:51:58 +0000 2017
1475412,1475412,@AppleSupport why am I️ still seeing boxes?,2,Thu Nov 02 19:31:36 +0000 2017
1477572,1477572,Idk why but my phone autocorrects “I” to a some weird characters. It’s annoying and not sure how to fix it either. https://t.co/1oEdFjSoFB,3,Thu Nov 02 21:16:57 +0000 2017
1478078,1478078,@115858 I️ have never seen this happen but when I️ click “i” it autocorrects to I️ https://t.co/fU3vunkiUL,2,Thu Nov 02 21:26:39 +0000 2017
1482435,1482435,@AppleSupport this symbol keeps appearing on my keyboard and sending in text in certain apps https://t.co/T93AIZODsv,2,Fri Nov 03 01:22:37 +0000 2017
1498641,1498641,@AppleSupport fix the fucking “I️” problem,2,Fri Nov 03 03:50:03 +0000 2017
1502951,1502951,"my charger is ACTING UP its not broken anywhere but it keeps saying ""this accessory may not be supported"" or whatever FUCK YOU @115858",5,Sun Nov 26 02:01:14 +0000 2017
1502990,1502990,"@applesupport 11.1 battery is draining twice as fast, watching youtube heats the phone alarmingly. Before upd 8plus 25H of battery now 6H",2,Fri Nov 03 09:14:17 +0000 2017
1517841,1517841,So @115858 when y'all gonna fix my phone... I just got this last December... It don't need to be messin' up. You hear me? #Apple,2,Fri Nov 03 14:16:31 +0000 2017
1524146,1524146,Me when I️ get a cat lol https://t.co/bhqVnrq17y,4,Fri Nov 03 16:36:20 +0000 2017
